l1_subset,l1_algo,l2_subset,l2_algo,accuracy,macro_f1,weighted_f1,false_alarm_rate,forwarded,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,latency_us
GWO,LightGBM,MVO,CatBoost,0.7794978708303761,0.5394330264075383,0.7386633666309207,0.030583873957367932,0.39571504613200853,0.969416126042632,0.803432555644945,0.825691862866584,0.0570079883805374,0.055,0.7258053980810186
MVO,CatBoost,MFO,Extra Trees,0.782957771469127,0.5392224712715843,0.7427159749641925,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8136229552158756,0.8240396530359355,0.05737109658678286,0.06,2.2273831318978257
MVO,CatBoost,GA,XGBoost,0.7853974449964514,0.5390831534792365,0.7452161739667725,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8148297130598016,0.8438661710037175,0.05737109658678286,0.05,1.0820156161207777
MVO,XGBoost,MFO,Random Forest,0.7638839602555003,0.5390014853713432,0.7277440292209052,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.7935103244837758,0.8240396530359355,0.05809731299927379,0.1,1.68119766619088
MVO,XGBoost,MVO,Random Forest,0.7704932576295245,0.5384100534111056,0.7313543975883268,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.8126843657817109,0.8269310202395704,0.05809731299927379,0.095,1.6281028035533902
GWO,CatBoost,MFO,Extra Trees,0.7782558552164656,0.5379126984547429,0.7379446380517221,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7995441137034057,0.8182569186286658,0.06100217864923747,0.065,2.0150522028206446
PSO,CatBoost,MVO,LightGBM,0.7973296664300923,0.5372740008270477,0.7461223912457938,0.03192256204304397,0.413236337828247,0.968077437956956,0.8445964065433093,0.9343246592317225,0.0010893246187363835,0.05,1.2005542391684663
MVO,CatBoost,MFO,CatBoost,0.7822924059616749,0.5372378920259625,0.7404041279651082,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8049074818986324,0.8446922759190417,0.0570079883805374,0.065,1.0203303521657339
GWO,XGBoost,MVO,Random Forest,0.7780340667139816,0.5370900234901124,0.7371676694632285,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.8027621346205417,0.8128872366790583,0.05809731299927379,0.06,1.6064154762165042
MVO,XGBoost,MVO,LightGBM,0.7792317246273953,0.5368221364458996,0.7435529461078413,0.060035011842240756,0.4256564939673527,0.9399649881577592,0.83266291230893,0.8471705906650144,0.05773420479302832,0.095,0.9073206684485329
PSO,XGBoost,MVO,XGBoost,0.7943577004968062,0.5367778712275505,0.7479543782724797,0.029966017917825147,0.4153211497515969,0.9700339820821748,0.8272995441137034,0.9202808756712102,0.029774872912127815,0.04,0.4928609810794995
PSO,XGBoost,GA,XGBoost,0.7869056068133428,0.5364031343498077,0.7423809410862281,0.029966017917825147,0.4153211497515969,0.9700339820821748,0.8126843657817109,0.8975629904997935,0.027596223674655047,0.05,0.5900988481666021
MVO,LightGBM,MFO,Random Forest,0.7634847409510291,0.5362980902559208,0.7252636866330433,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7534191472244569,0.8269310202395704,0.05337690631808279,0.075,1.9283008356906082
PSO,Extra Trees,MVO,LightGBM,0.7950230660042583,0.5358806623420367,0.7463919606597118,0.030171969931006074,0.4090223562810504,0.9698280300689939,0.8448645749530705,0.8909541511771994,0.013798111837327523,0.045,3.2151480320003403
GWO,XGBoost,GA,Random Forest,0.7739975159687722,0.5358320786735546,0.733061941566256,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7913649772056852,0.8104089219330854,0.05737109658678286,0.07,1.5847560785177497
GWO,CatBoost,MFO,XGBoost,0.7769694819020582,0.535614965262435,0.736833161113979,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7882810404934298,0.8364312267657993,0.06535947712418301,0.06,0.8310048544708375
PSO,GBM,GA,XGBoost,0.7810947480482612,0.5349287399635843,0.7454113635508415,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.8020917135961384,0.8033870301528294,0.09803921568627451,0.03,0.76078174877042
MVO,CatBoost,MFO,XGBoost,0.7787437899219305,0.5348642423364293,0.737665879269785,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.7941807455081792,0.8451053283767038,0.05664488017429194,0.065,1.016826300474433
GWO,XGBoost,GA,CatBoost,0.7627306600425834,0.5348340044207507,0.7263515991282423,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.7563689997318316,0.8108219743907477,0.059186637618010164,0.075,0.5588889168482033
